Tweet,sentiment
@united UA5396 can wait for me. I'm on the ground trying to get to the gate after we were moved to B. This is crap.,negative
I hate Time Warner! Soooo wish I had Vios. Cant watch the fricken Mets game w/o buffering. I feel like im watching free internet porn.,negative
"@united Oh, we are sure it's not planned, but it occurs absolutely consistently, it's usually the only YYJ flight that's Cancelled Flightled daily.",negative
Tom Shanahan's latest column on SDSU and its NCAA Baseball Regional appearance: http://ow.ly/axhu,neutral
Found the self driving car!! /IWo3QSvduneutral,neutral
@united arrived in YYZ to take our flight to Taiwan. Reservation missing our ticket numbers. Slow agent Sukhdeep caused us to miss our flt.,negative
Driverless cars ? What's the point ?,negative
how can you not love Obama? he makes jokes about himself.,positive
Safeway is very rock n roll tonight,positive
RT @jquery: The Ultimate jQuery List - http://jquerylist.com/,neutral
I saw Night at the Museum: Battle of the Swithsonian today. It was okay. Your typical [kids] Ben Stiller movie.,neutral
History exam studying ugh,negative
 Missed this. each is 'newer generation'. I'd start w allegra then go claritin then zyrtec. I don't envy you!,neutral
is being fucked by time warner cable. didnt know modems could explode. and Susan Boyle sucks too!,negative
I hope the girl at work  buys my Kindleneutral,neutral
@aparajuli good luck to you ,positive
needs someone to explain lambda calculus to him! :(,negative
@unnitallman yeah looks like that only! &quot;busy&quot; is fucking me so yeah.. its my &quot;GF&quot; ,negative
Loves twitter,positive
@Mbjthegreat i really dont want AT&amp;T phone service..they suck when it comes to having a signal,negative
@united Thank you Margo at Houston's Bush Intercontinental for getting me home earlier.,positive
I donâ€™t want either! RT @clayhebert: We might get pilotless planes before driverless cars - http://t.co/y4YOxaqI,negative
"Super cool: ""@google: The next stop on the road to a self-driving car http://t.co/x4rem8zeKy http://t.co/UPdUUaTTb6""",positive
@ontheMAPP DITTO! not as good as the Nirvana Sandwiches ,positive
waiting in line at safeway.,neutral
"OMG, I would have died!!! actually no, I take that back...I keep an updated version on my X:drive so it's all good ",positive
There's a google self-driving car parked next to me. Shall I ask for a ride?,neutral
Aw fuck - this night ended badly ,negative
#MBA Admissions Tips Stanford GSB Deadlines and Essay Topics neutralnegativenegative9-neutralnegative1negative http://tinyurl.com/pet4fd,neutral
Ok so lots of buzz from IOneutralnegativenegative9 but how lucky are they - a Free Gneutral!! http://is.gd/Hyzl,positive
am loving new malcolm gladwell book - outliers,positive
"Goodby, Silverstein's new site... http://www.goodbysilverstein.com/ I enjoy it.",positive
1neutral Gift Ideas For The Apple Lover Who Has Everything /negativeRTcyLOsAD  #technology,neutral
So the #Coachellaneutralnegative15 diet begins /PmnegativevKneutralfBG5,neutral
New blog post: Harvard Versus Stanford - Who Wins? http://bit.ly/MCoCo,neutral
got a new pair of nike shoes. pics up later,neutral
 Hey any chance you have an update on Flight 99 Hartford to D.C.?,neutral
Learning jQuery 1.3 Book Review - http://cfbloggers.org/?c=3negative6neutral9,neutral
@kirstiealley my dentist is great but she's expensive...=(,negative
whoever is running time warner needs to be repeatedly raped by a rhino so they understand the consequences of putting out shitty cable svcs,negative
loves chocolate milk  and that is GF YEAH..,positive
@DonnieWahlberg I can tell u have spoken. FB &amp; Twitter are on Fire right now!!  Hope ur feelin better love.  have a great night...,positive
"Three China aerospace giants develop Tianjin Binhai  New Area,  neutralneutral.9 B yuan invested   http://bit.ly/mMiDv",neutral
"Ok, first assesment of the #kindleneutral ...it fucking rocks!!!",positive
@BittenbyBooks Oh good!  I'm glad you're feeling better!   I've been really good!  It'll be a crazy week though... In a good way! ,positive
heyy loves!! just finished my record in the studio!! going to kick it with lauren c.!!  byee!! &lt;3,positive
@united well it IS John Hughes' birthday. But I will stick w the plane &amp; hold off on trains &amp; automobiles. Gate workers are doing well.,positive
Apples not even barely doing anything a couple features here and there google has got self driving car Google glass google tango project ara,neutral
I loved today ,positive
"RT @WaterSISWEB: CA Merced's water bottled by Safeway, resold at a profit: Wells are drying up across the county http://tinyurl.com/mb573s",neutral
"  we don't have much data on IND balls, but likely started at higher PSI / lower tmp than pats balls. #DeflateGate",neutral
fucking faggots @apple,negative
Fine-tuning part of a song Maddy and I r making.  Sounding good. I feel pro. Not. Hahaha,positive
@amp451 good night  sweet dreamz,positive
@SophieVeronica today was rad. we made it into the finals for cross country YAY. love you sophie &lt;3 (L) ps everythins cool with my mates ,positive
 now I'm happy ,positive
"@amazingphoebe mmh, you are stupid sometimes, but not as much as me, for i am the stupid, fucked up, retarded one in our relationship ",negative
 they do its called Google car,neutral
"Night at the Museum, Wolverine and junk food - perfect monday!",positive
playing with cURL and the Twitter API,neutral
"I say we just cut out the small talk: AT&amp;T's new slogan: F__k you, give us your money. (Apologies to Bob Geldof.)",negative
"@united your SFO-YYJ fight is Cancelled Flightled several times each week, why even bother?",negative
@the_real_usher LeBron is cool.  I like his personality...he has good character.,positive
fucking Google car in hiawatha!,negative
First dentist appointment [in years] on Wednesday possibly.,neutral
"this hockey band look like mgmt+3, but fucking hell they're good. sabrepulse come back too ",negative
"........*sigh* long distance i fucking hate it.  but on the brighter side,random ass road trip to famu today.then fort valley monday! oboy",negative
Back when I worked for Nike we had one fav word : JUST DO IT! :),positive
just landed at San Francisco,neutral
Ugh studying today. I need a study place/study buddy! Anyone into it?! Its also lovely out   fuck the leaving cert.,negative
Just got my new toy. Canon 5negativeD. Love love love it!,positive
: #DeflateGate #Ballghazi #BallGate All Tom Brady and Belichick have to do is say they are long time democrats and base …,neutral
"UP! was sold out, so i'm seeing Night At The Museum neutral. I'm __ years old.",neutral
 Hi guys checking in US/AA 639 JFK PHX and renewed Admirals Club today.,neutral
"I can't watch TV without a Tivo.  And after all these years, the Time/Warner DVR  STILL sucks. http://www.davehitt.com/marchnegative3/twdvr.html",negative
so tired. i didn't sleep well at all last night.,negative
Google has a self driving car!!!! Awesome,positive
